iter	Passed	Remaining
0	79	79451
1	144	71912
2	243	80900
3	314	78358
4	387	77105
5	453	75138
6	515	73088
7	574	71197
8	640	70557
9	701	69442
10	764	68708
11	841	69246
12	911	69223
13	971	68432
14	1044	68559
15	1110	68306
16	1181	68331
17	1261	68812
18	1334	68889
19	1397	68483
20	1463	68219
21	1525	67812
22	1589	67538
23	1661	67585
24	1751	68309
25	1826	68430
26	1898	68410
27	1975	68570
28	2043	68426
29	2113	68343
30	2185	68304
31	2253	68164
32	2320	68009
33	2387	67844
34	2464	67938
35	2529	67733
36	2607	67869
37	2676	67748
38	2749	67750
39	2823	67771
40	2896	67747
41	2971	67780
42	3053	67960
43	3138	68199
44	3208	68089
45	3279	68006
46	3346	67863
47	3428	68001
48	3493	67808
49	3562	67678
50	3634	67629
51	3706	67577
52	3792	67760
53	3864	67706
54	3940	67704
55	4017	67717
56	4079	67495
57	4154	67481
58	4231	67491
59	4304	67443
60	4374	67332
61	4444	67246
62	4505	67016
63	4579	66981
64	4653	66937
65	4741	67093
66	4814	67038
67	4887	66983
68	4970	67065
69	5047	67057
70	5123	67038
71	5223	67326
72	5302	67340
73	5379	67317
74	5454	67274
75	5533	67280
76	5605	67187
77	5674	67075
78	5749	67028
79	5816	66894
80	5890	66827
81	5967	66803
82	6046	66800
83	6121	66748
84	6198	66726
85	6271	66649
86	6345	66586
87	6430	66641
88	6503	66572
89	6578	66517
90	6641	66343
91	6718	66306
92	6771	66043
93	6831	65839
94	6857	65324
95	6933	65289
96	7009	65253
97	7087	65229
98	7162	65188
99	7233	65100
100	7300	64981
101	7372	64907
102	7433	64734
103	7503	64647
104	7573	64555
105	7648	64508
106	7727	64495
107	7796	64391
108	7869	64326
109	7941	64250
110	8002	64093
111	8078	64048
112	8150	63975
113	8222	63903
114	8289	63791
115	8369	63780
116	8439	63692
117	8517	63661
118	8592	63610
119	8658	63493
120	8726	63393
121	8793	63284
122	8867	63226
123	8940	63159
124	9008	63062
125	9072	62930
126	9146	62873
127	9219	62810
128	9282	62671
129	9353	62594
130	9429	62550
131	9492	62422
132	9546	62230
133	9621	62178
134	9694	62118
135	9760	62009
136	9826	61897
137	9884	61745
138	9952	61645
139	10025	61582
140	10096	61509
141	10164	61418
142	10240	61370
143	10315	61317
144	10398	61317
145	10477	61285
146	10552	61233
147	10626	61171
148	10697	61095
149	10766	61009
150	10830	60894
151	10898	60803
152	10968	60723
153	11035	60623
154	11102	60528
155	11173	60451
156	11248	60398
157	11328	60371
158	11408	60344
159	11447	60099
160	11522	60045
161	11596	59988
162	11666	59904
163	11748	59889
164	11823	59831
165	11893	59753
166	11955	59632
167	12032	59590
168	12103	59514
169	12176	59451
170	12237	59329
171	12305	59236
172	12367	59121
173	12427	58997
174	12506	58960
175	12553	58771
176	12593	58554
177	12668	58504
178	12745	58458
179	12821	58409
180	12895	58349
